#   N_BLOCK:  ACCEPTANCE:
           1    6.548009e-01
           2    6.538519e-01
           3    6.534599e-01
           4    6.534641e-01
           5    6.539065e-01
           6    6.539105e-01
           7    6.540840e-01
           8    6.539751e-01
           9    6.538513e-01
          10    6.538523e-01
          11    6.535421e-01
          12    6.535671e-01
          13    6.536040e-01
          14    6.535982e-01
          15    6.538608e-01
          16    6.539158e-01
          17    6.538747e-01
          18    6.540018e-01
          19    6.540887e-01
          20    6.541275e-01
