#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    1.387658e+00    1.387658e+00    0.000000e+00
           2    1.383873e+00    1.385765e+00    1.338370e-03
           3    1.386118e+00    1.385883e+00    8.973996e-04
           4    1.380032e+00    1.384420e+00    1.434579e-03
           5    1.388782e+00    1.385293e+00    1.387791e-03
           6    1.384387e+00    1.385142e+00    1.164674e-03
           7    1.388721e+00    1.385653e+00    1.104845e-03
           8    1.383085e+00    1.385332e+00    1.012278e-03
           9    1.379413e+00    1.384674e+00    1.092771e-03
          10    1.384252e+00    1.384632e+00    9.843117e-04
          11    1.381212e+00    1.384321e+00    9.426605e-04
          12    1.383437e+00    1.384247e+00    8.669767e-04
          13    1.384711e+00    1.384283e+00    8.010199e-04
          14    1.387036e+00    1.384480e+00    7.675560e-04
          15    1.390007e+00    1.384848e+00    7.999628e-04
          16    1.385183e+00    1.384869e+00    7.502379e-04
          17    1.384656e+00    1.384857e+00    7.062109e-04
          18    1.387074e+00    1.384980e+00    6.776383e-04
          19    1.387912e+00    1.385134e+00    6.593131e-04
          20    1.384720e+00    1.385113e+00    6.266727e-04
