#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -5.466056e+00   -5.466056e+00    0.000000e+00
           2   -5.458938e+00   -5.462497e+00    2.516725e-03
           3   -5.463786e+00   -5.462927e+00    1.714099e-03
           4   -5.449065e+00   -5.459461e+00    3.264967e-03
           5   -5.452587e+00   -5.458086e+00    2.886954e-03
           6   -5.459125e+00   -5.458259e+00    2.410980e-03
           7   -5.466824e+00   -5.459483e+00    2.356630e-03
           8   -5.462790e+00   -5.459896e+00    2.098004e-03
           9   -5.480159e+00   -5.462148e+00    2.825518e-03
          10   -5.470737e+00   -5.463007e+00    2.670327e-03
