#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    1.217168e+00    1.217168e+00    0.000000e+00
           2    1.260596e+00    1.238882e+00    1.535418e-02
           3    1.221658e+00    1.233141e+00    1.125848e-02
           4    1.301162e+00    1.250146e+00    1.697589e-02
           5    1.278470e+00    1.255811e+00    1.449511e-02
           6    1.230174e+00    1.251538e+00    1.269340e-02
           7    1.204795e+00    1.244861e+00    1.251384e-02
           8    1.242423e+00    1.244556e+00    1.095332e-02
           9    1.137347e+00    1.232644e+00    1.486363e-02
          10    1.210141e+00    1.230393e+00    1.354653e-02
