#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    1.100000e+00    1.100000e+00    0.000000e+00
           2    1.100000e+00    1.100000e+00    0.000000e+00
           3    1.100000e+00    1.100000e+00    0.000000e+00
           4    1.100000e+00    1.100000e+00    0.000000e+00
           5    1.100000e+00    1.100000e+00    0.000000e+00
           6    1.100000e+00    1.100000e+00    0.000000e+00
           7    1.100000e+00    1.100000e+00    5.632110e-09
           8    1.100000e+00    1.100000e+00    0.000000e+00
           9    1.100000e+00    1.100000e+00    0.000000e+00
          10    1.100000e+00    1.100000e+00    4.712161e-09
