#   N_BLOCK:  ACCEPTANCE:
           1    5.111250e-01
           2    5.103681e-01
           3    5.101389e-01
           4    5.098576e-01
           5    5.098370e-01
           6    5.100147e-01
           7    5.101925e-01
           8    5.101476e-01
           9    5.100175e-01
          10    5.098245e-01
          11    5.099945e-01
          12    5.100077e-01
          13    5.098729e-01
          14    5.099521e-01
          15    5.098512e-01
          16    5.099421e-01
          17    5.099420e-01
          18    5.099743e-01
          19    5.098248e-01
          20    5.098060e-01
          21    5.098439e-01
          22    5.099581e-01
          23    5.099762e-01
          24    5.099485e-01
          25    5.100006e-01
          26    5.099282e-01
          27    5.099870e-01
          28    5.100402e-01
          29    5.099660e-01
          30    5.099349e-01
          31    5.099353e-01
          32    5.100450e-01
          33    5.099645e-01
          34    5.099702e-01
          35    5.099923e-01
          36    5.100183e-01
          37    5.100612e-01
          38    5.101177e-01
          39    5.101988e-01
          40    5.101781e-01
