# DISTANCE:     AVE_GOFR:        ERROR:
    0.000000e+00    0.000000e+00    0.000000e+00
    2.564964e-02    0.000000e+00    0.000000e+00
    5.129928e-02    0.000000e+00    0.000000e+00
    7.694892e-02    0.000000e+00    0.000000e+00
    1.025986e-01    0.000000e+00    0.000000e+00
    1.282482e-01    0.000000e+00    0.000000e+00
    1.538978e-01    0.000000e+00    0.000000e+00
    1.795475e-01    0.000000e+00    0.000000e+00
    2.051971e-01    0.000000e+00    0.000000e+00
    2.308468e-01    0.000000e+00    0.000000e+00
    2.564964e-01    0.000000e+00    0.000000e+00
    2.821460e-01    0.000000e+00    0.000000e+00
    3.077957e-01    0.000000e+00    0.000000e+00
    3.334453e-01    0.000000e+00    0.000000e+00
    3.590949e-01    0.000000e+00    0.000000e+00
    3.847446e-01    0.000000e+00    0.000000e+00
    4.103942e-01    0.000000e+00    0.000000e+00
    4.360439e-01    0.000000e+00    0.000000e+00
    4.616935e-01    0.000000e+00    0.000000e+00
    4.873431e-01    0.000000e+00    0.000000e+00
    5.129928e-01    0.000000e+00    0.000000e+00
    5.386424e-01    0.000000e+00    0.000000e+00
    5.642921e-01    0.000000e+00    0.000000e+00
    5.899417e-01    0.000000e+00    0.000000e+00
    6.155913e-01    0.000000e+00    0.000000e+00
    6.412410e-01    0.000000e+00    0.000000e+00
    6.668906e-01    0.000000e+00    0.000000e+00
    6.925403e-01    0.000000e+00    0.000000e+00
    7.181899e-01    0.000000e+00    0.000000e+00
    7.438395e-01    0.000000e+00    0.000000e+00
    7.694892e-01    0.000000e+00    0.000000e+00
    7.951388e-01    0.000000e+00    0.000000e+00
    8.207885e-01    0.000000e+00    0.000000e+00
    8.464381e-01    7.294609e-06    3.667511e-06
    8.720877e-01    1.317116e-03    6.006926e-05
    8.977374e-01    2.423291e-02    3.270381e-04
    9.233870e-01    1.644207e-01    8.561324e-04
    9.490367e-01    5.643352e-01    1.792985e-03
    9.746863e-01    1.204952e+00    2.370555e-03
    1.000336e+00    1.861118e+00    3.220289e-03
    1.025986e+00    2.339484e+00    2.934163e-03
    1.051635e+00    2.550064e+00    2.644027e-03
    1.077285e+00    2.549330e+00    2.174834e-03
    1.102934e+00    2.407337e+00    2.348650e-03
    1.128584e+00    2.197842e+00    2.361750e-03
    1.154234e+00    1.974530e+00    1.918341e-03
    1.179883e+00    1.753107e+00    2.530307e-03
    1.205533e+00    1.557946e+00    2.085373e-03
    1.231183e+00    1.388679e+00    1.878699e-03
    1.256832e+00    1.243655e+00    2.060813e-03
    1.282482e+00    1.124392e+00    2.015582e-03
    1.308132e+00    1.023212e+00    1.796099e-03
    1.333781e+00    9.396550e-01    1.817095e-03
    1.359431e+00    8.734644e-01    1.321103e-03
    1.385081e+00    8.176509e-01    1.448099e-03
    1.410730e+00    7.731361e-01    1.182141e-03
    1.436380e+00    7.388468e-01    9.243734e-04
    1.462029e+00    7.114830e-01    1.156563e-03
    1.487679e+00    6.925962e-01    1.171392e-03
    1.513329e+00    6.794621e-01    1.255751e-03
    1.538978e+00    6.727454e-01    1.389374e-03
    1.564628e+00    6.713831e-01    1.115957e-03
    1.590278e+00    6.756255e-01    1.209758e-03
    1.615927e+00    6.860613e-01    1.332554e-03
    1.641577e+00    7.022586e-01    1.243546e-03
    1.667227e+00    7.232586e-01    1.175543e-03
    1.692876e+00    7.494918e-01    1.053043e-03
    1.718526e+00    7.810818e-01    1.277171e-03
    1.744175e+00    8.147223e-01    9.896658e-04
    1.769825e+00    8.536501e-01    1.267181e-03
    1.795475e+00    8.935242e-01    1.237269e-03
    1.821124e+00    9.352930e-01    1.248375e-03
    1.846774e+00    9.765278e-01    1.103028e-03
    1.872424e+00    1.017230e+00    1.414634e-03
    1.898073e+00    1.057506e+00    1.201930e-03
    1.923723e+00    1.095274e+00    1.087225e-03
    1.949373e+00    1.130228e+00    1.045298e-03
    1.975022e+00    1.161243e+00    1.164719e-03
    2.000672e+00    1.185743e+00    9.977088e-04
    2.026321e+00    1.205349e+00    1.045546e-03
    2.051971e+00    1.214514e+00    1.005555e-03
    2.077621e+00    1.215778e+00    1.037855e-03
    2.103270e+00    1.210598e+00    1.189084e-03
    2.128920e+00    1.195483e+00    1.037116e-03
    2.154570e+00    1.173912e+00    1.286852e-03
    2.180219e+00    1.150619e+00    1.219549e-03
    2.205869e+00    1.122824e+00    1.238198e-03
    2.231519e+00    1.095292e+00    1.354775e-03
    2.257168e+00    1.065764e+00    1.290346e-03
    2.282818e+00    1.039596e+00    1.130068e-03
    2.308468e+00    1.012643e+00    9.840226e-04
    2.334117e+00    9.874309e-01    1.115162e-03
    2.359767e+00    9.666306e-01    9.487805e-04
    2.385416e+00    9.471084e-01    8.572717e-04
    2.411066e+00    9.301737e-01    7.164873e-04
    2.436716e+00    9.177226e-01    7.996507e-04
    2.462365e+00    9.081719e-01    8.828598e-04
    2.488015e+00    8.943516e-01    8.821409e-04
    2.513665e+00    8.847340e-01    8.663126e-04
    2.539314e+00    8.854967e-01    9.573998e-04
