#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -5.478254e+00   -5.478254e+00    0.000000e+00
           2   -5.448270e+00   -5.463262e+00    1.060087e-02
           3   -5.464541e+00   -5.463688e+00    7.075802e-03
           4   -5.453908e+00   -5.461243e+00    5.713751e-03
           5   -5.467512e+00   -5.462497e+00    4.706548e-03
           6   -5.473523e+00   -5.464335e+00    4.265806e-03
           7   -5.456345e+00   -5.463193e+00    3.806052e-03
           8   -5.455463e+00   -5.462227e+00    3.450758e-03
           9   -5.446059e+00   -5.460431e+00    3.503871e-03
          10   -5.450736e+00   -5.459461e+00    3.284857e-03
          11   -5.457917e+00   -5.459321e+00    2.989232e-03
          12   -5.452755e+00   -5.458774e+00    2.789757e-03
          13   -5.447578e+00   -5.457912e+00    2.704814e-03
          14   -5.466363e+00   -5.458516e+00    2.578083e-03
          15   -5.454667e+00   -5.458259e+00    2.418945e-03
          16   -5.464856e+00   -5.458672e+00    2.302629e-03
          17   -5.461389e+00   -5.458832e+00    2.172721e-03
          18   -5.465230e+00   -5.459187e+00    2.080889e-03
          19   -5.460495e+00   -5.459256e+00    1.972507e-03
          20   -5.472065e+00   -5.459896e+00    1.975125e-03
          21   -5.474938e+00   -5.460613e+00    2.006747e-03
          22   -5.484343e+00   -5.461691e+00    2.186299e-03
          23   -5.479191e+00   -5.462452e+00    2.219689e-03
          24   -5.470175e+00   -5.462774e+00    2.150398e-03
          25   -5.468594e+00   -5.463007e+00    2.076945e-03
          26   -5.461194e+00   -5.462937e+00    1.998233e-03
          27   -5.454928e+00   -5.462640e+00    1.946117e-03
          28   -5.476339e+00   -5.463130e+00    1.937134e-03
          29   -5.442850e+00   -5.462430e+00    1.992568e-03
          30   -5.463254e+00   -5.462458e+00    1.926339e-03
          31   -5.463362e+00   -5.462487e+00    1.864420e-03
          32   -5.482448e+00   -5.463111e+00    1.907659e-03
          33   -5.439511e+00   -5.462396e+00    1.979359e-03
          34   -5.480643e+00   -5.462932e+00    1.992573e-03
          35   -5.456516e+00   -5.462749e+00    1.944058e-03
          36   -5.451842e+00   -5.462446e+00    1.913517e-03
          37   -5.484449e+00   -5.463041e+00    1.952022e-03
          38   -5.467700e+00   -5.463163e+00    1.904500e-03
          39   -5.473765e+00   -5.463435e+00    1.874969e-03
          40   -5.467893e+00   -5.463547e+00    1.831405e-03
