#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    1.149196e+00    1.149196e+00    0.000000e+00
           2    1.293366e+00    1.221281e+00    5.097187e-02
           3    1.244203e+00    1.228922e+00    3.454917e-02
           4    1.295567e+00    1.245583e+00    2.965851e-02
           5    1.212078e+00    1.238882e+00    2.447210e-02
           6    1.172264e+00    1.227779e+00    2.277332e-02
           7    1.240911e+00    1.229655e+00    1.959710e-02
           8    1.291720e+00    1.237413e+00    1.861987e-02
           9    1.299202e+00    1.244279e+00    1.777166e-02
          10    1.302954e+00    1.250146e+00    1.693545e-02
          11    1.254778e+00    1.250567e+00    1.540109e-02
          12    1.276871e+00    1.252759e+00    1.427280e-02
          13    1.285641e+00    1.255288e+00    1.339714e-02
          14    1.186339e+00    1.250364e+00    1.331470e-02
          15    1.267983e+00    1.251538e+00    1.247876e-02
          16    1.182878e+00    1.247247e+00    1.241477e-02
          17    1.234752e+00    1.246512e+00    1.170623e-02
          18    1.243394e+00    1.246339e+00    1.105717e-02
          19    1.264798e+00    1.247310e+00    1.051781e-02
          20    1.192221e+00    1.244556e+00    1.034631e-02
          21    1.155831e+00    1.240331e+00    1.068150e-02
          22    1.130519e+00    1.235339e+00    1.130221e-02
          23    1.144293e+00    1.231381e+00    1.148314e-02
          24    1.208844e+00    1.230442e+00    1.104300e-02
          25    1.229232e+00    1.230393e+00    1.060138e-02
          26    1.224923e+00    1.230183e+00    1.019573e-02
          27    1.236622e+00    1.230422e+00    9.820896e-03
          28    1.159201e+00    1.227878e+00    9.794001e-03
          29    1.351712e+00    1.232148e+00    1.034536e-02
          30    1.223593e+00    1.231863e+00    1.000444e-02
          31    1.297112e+00    1.233968e+00    9.900656e-03
          32    1.126613e+00    1.230613e+00    1.014374e-02
          33    1.376101e+00    1.235022e+00    1.075183e-02
          34    1.170221e+00    1.233116e+00    1.060317e-02
          35    1.262348e+00    1.233951e+00    1.033307e-02
          36    1.244213e+00    1.234236e+00    1.004997e-02
          37    1.112779e+00    1.230953e+00    1.030051e-02
          38    1.196871e+00    1.230056e+00    1.006842e-02
          39    1.156001e+00    1.228158e+00    9.987704e-03
          40    1.214127e+00    1.227807e+00    9.744169e-03
