#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -3.828254e+00   -3.828254e+00    0.000000e+00
           2   -3.798270e+00   -3.813262e+00    1.060087e-02
           3   -3.814541e+00   -3.813688e+00    7.075802e-03
           4   -3.803908e+00   -3.811243e+00    5.713751e-03
           5   -3.817512e+00   -3.812497e+00    4.706548e-03
           6   -3.823523e+00   -3.814335e+00    4.265806e-03
           7   -3.806345e+00   -3.813193e+00    3.806052e-03
           8   -3.805463e+00   -3.812227e+00    3.450758e-03
           9   -3.796059e+00   -3.810431e+00    3.503871e-03
          10   -3.800736e+00   -3.809461e+00    3.284857e-03
          11   -3.807917e+00   -3.809321e+00    2.989232e-03
          12   -3.802755e+00   -3.808774e+00    2.789757e-03
          13   -3.797578e+00   -3.807912e+00    2.704814e-03
          14   -3.816363e+00   -3.808516e+00    2.578083e-03
          15   -3.804667e+00   -3.808259e+00    2.418945e-03
          16   -3.814856e+00   -3.808672e+00    2.302629e-03
          17   -3.811389e+00   -3.808832e+00    2.172721e-03
          18   -3.815230e+00   -3.809187e+00    2.080889e-03
          19   -3.810495e+00   -3.809256e+00    1.972507e-03
          20   -3.822065e+00   -3.809896e+00    1.975125e-03
          21   -3.824938e+00   -3.810613e+00    2.006747e-03
          22   -3.834343e+00   -3.811691e+00    2.186299e-03
          23   -3.829191e+00   -3.812452e+00    2.219689e-03
          24   -3.820175e+00   -3.812774e+00    2.150398e-03
          25   -3.818594e+00   -3.813007e+00    2.076945e-03
          26   -3.811194e+00   -3.812937e+00    1.998233e-03
          27   -3.804928e+00   -3.812640e+00    1.946117e-03
          28   -3.826339e+00   -3.813130e+00    1.937134e-03
          29   -3.792850e+00   -3.812430e+00    1.992568e-03
          30   -3.813254e+00   -3.812458e+00    1.926339e-03
          31   -3.813362e+00   -3.812487e+00    1.864420e-03
          32   -3.832448e+00   -3.813111e+00    1.907659e-03
          33   -3.789511e+00   -3.812396e+00    1.979359e-03
          34   -3.830643e+00   -3.812932e+00    1.992573e-03
          35   -3.806516e+00   -3.812749e+00    1.944058e-03
          36   -3.801842e+00   -3.812446e+00    1.913517e-03
          37   -3.834449e+00   -3.813041e+00    1.952022e-03
          38   -3.817700e+00   -3.813163e+00    1.904500e-03
          39   -3.823765e+00   -3.813435e+00    1.874969e-03
          40   -3.817893e+00   -3.813547e+00    1.831405e-03
