#   N_BLOCK:  ACCEPTANCE:
           1    5.120602e-01
           2    5.108356e-01
           3    5.098519e-01
           4    5.103634e-01
           5    5.105713e-01
           6    5.104838e-01
           7    5.108022e-01
           8    5.104034e-01
           9    5.101626e-01
          10    5.102829e-01
          11    5.100686e-01
          12    5.101613e-01
          13    5.104754e-01
          14    5.104358e-01
          15    5.102602e-01
          16    5.101892e-01
          17    5.102443e-01
          18    5.103971e-01
          19    5.104186e-01
          20    5.104759e-01
