# DISTANCE:     AVE_GOFR:        ERROR:
    0.000000e+00    0.000000e+00    0.000000e+00
    2.564964e-02    0.000000e+00    0.000000e+00
    5.129928e-02    0.000000e+00    0.000000e+00
    7.694892e-02    0.000000e+00    0.000000e+00
    1.025986e-01    0.000000e+00    0.000000e+00
    1.282482e-01    0.000000e+00    0.000000e+00
    1.538978e-01    0.000000e+00    0.000000e+00
    1.795475e-01    0.000000e+00    0.000000e+00
    2.051971e-01    0.000000e+00    0.000000e+00
    2.308468e-01    0.000000e+00    0.000000e+00
    2.564964e-01    0.000000e+00    0.000000e+00
    2.821460e-01    0.000000e+00    0.000000e+00
    3.077957e-01    0.000000e+00    0.000000e+00
    3.334453e-01    0.000000e+00    0.000000e+00
    3.590949e-01    0.000000e+00    0.000000e+00
    3.847446e-01    0.000000e+00    0.000000e+00
    4.103942e-01    0.000000e+00    0.000000e+00
    4.360439e-01    0.000000e+00    0.000000e+00
    4.616935e-01    0.000000e+00    0.000000e+00
    4.873431e-01    0.000000e+00    0.000000e+00
    5.129928e-01    0.000000e+00    0.000000e+00
    5.386424e-01    0.000000e+00    0.000000e+00
    5.642921e-01    0.000000e+00    0.000000e+00
    5.899417e-01    0.000000e+00    0.000000e+00
    6.155913e-01    0.000000e+00    0.000000e+00
    6.412410e-01    0.000000e+00    0.000000e+00
    6.668906e-01    0.000000e+00    0.000000e+00
    6.925403e-01    0.000000e+00    0.000000e+00
    7.181899e-01    0.000000e+00    0.000000e+00
    7.438395e-01    0.000000e+00    0.000000e+00
    7.694892e-01    0.000000e+00    0.000000e+00
    7.951388e-01    0.000000e+00    0.000000e+00
    8.207885e-01    0.000000e+00    0.000000e+00
    8.464381e-01    1.458922e-05    7.765704e-06
    8.720877e-01    1.219679e-03    7.252833e-05
    8.977374e-01    2.426647e-02    4.489037e-04
    9.233870e-01    1.644504e-01    1.047721e-03
    9.490367e-01    5.637278e-01    2.229149e-03
    9.746863e-01    1.196014e+00    3.936254e-03
    1.000336e+00    1.858314e+00    4.363113e-03
    1.025986e+00    2.333463e+00    3.464959e-03
    1.051635e+00    2.551791e+00    2.806834e-03
    1.077285e+00    2.546310e+00    2.726188e-03
    1.102934e+00    2.408502e+00    3.331474e-03
    1.128584e+00    2.202531e+00    3.111284e-03
    1.154234e+00    1.977419e+00    3.364255e-03
    1.179883e+00    1.762621e+00    3.408200e-03
    1.205533e+00    1.561697e+00    3.698733e-03
    1.231183e+00    1.390864e+00    2.477533e-03
    1.256832e+00    1.248626e+00    3.035272e-03
    1.282482e+00    1.128380e+00    2.676020e-03
    1.308132e+00    1.026058e+00    2.536450e-03
    1.333781e+00    9.436317e-01    2.337248e-03
    1.359431e+00    8.755657e-01    1.969077e-03
    1.385081e+00    8.180156e-01    1.094590e-03
    1.410730e+00    7.717886e-01    1.553131e-03
    1.436380e+00    7.376756e-01    1.686371e-03
    1.462029e+00    7.094884e-01    1.672347e-03
    1.487679e+00    6.893372e-01    1.156762e-03
    1.513329e+00    6.764995e-01    1.163754e-03
    1.538978e+00    6.697430e-01    1.226096e-03
    1.564628e+00    6.686305e-01    1.486243e-03
    1.590278e+00    6.738664e-01    1.946683e-03
    1.615927e+00    6.833109e-01    1.718574e-03
    1.641577e+00    7.003435e-01    1.411952e-03
    1.667227e+00    7.220911e-01    1.682374e-03
    1.692876e+00    7.478837e-01    1.788794e-03
    1.718526e+00    7.790631e-01    1.668150e-03
    1.744175e+00    8.152326e-01    1.434731e-03
    1.769825e+00    8.497490e-01    1.505507e-03
    1.795475e+00    8.904396e-01    2.016163e-03
    1.821124e+00    9.331420e-01    1.647809e-03
    1.846774e+00    9.771386e-01    1.626108e-03
    1.872424e+00    1.021301e+00    1.651227e-03
    1.898073e+00    1.057548e+00    1.705307e-03
    1.923723e+00    1.095882e+00    2.097842e-03
    1.949373e+00    1.128862e+00    1.396043e-03
    1.975022e+00    1.162665e+00    1.717095e-03
    2.000672e+00    1.188127e+00    1.631193e-03
    2.026321e+00    1.204536e+00    1.304233e-03
    2.051971e+00    1.215072e+00    1.742075e-03
    2.077621e+00    1.219306e+00    1.669184e-03
    2.103270e+00    1.212754e+00    1.488563e-03
    2.128920e+00    1.196957e+00    1.823939e-03
    2.154570e+00    1.175824e+00    1.821540e-03
    2.180219e+00    1.156175e+00    1.618919e-03
    2.205869e+00    1.125764e+00    1.591431e-03
    2.231519e+00    1.096896e+00    1.386968e-03
    2.257168e+00    1.067565e+00    1.256195e-03
    2.282818e+00    1.038795e+00    1.632005e-03
    2.308468e+00    1.011783e+00    1.012972e-03
    2.334117e+00    9.875264e-01    1.264631e-03
    2.359767e+00    9.646041e-01    1.325448e-03
    2.385416e+00    9.454862e-01    1.420899e-03
    2.411066e+00    9.318080e-01    8.450925e-04
    2.436716e+00    9.168819e-01    1.518126e-03
    2.462365e+00    9.080896e-01    1.101672e-03
    2.488015e+00    8.934229e-01    8.970446e-04
    2.513665e+00    8.832347e-01    1.371321e-03
    2.539314e+00    8.841588e-01    1.075276e-03
