#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -5.487875e+00   -5.487875e+00    0.000000e+00
           2   -5.459631e+00   -5.473753e+00    9.985836e-03
           3   -5.448904e+00   -5.465470e+00    9.489885e-03
           4   -5.466593e+00   -5.465751e+00    7.121564e-03
           5   -5.473697e+00   -5.467340e+00    5.871882e-03
           6   -5.458846e+00   -5.465924e+00    5.061020e-03
           7   -5.488469e+00   -5.469145e+00    5.263982e-03
           8   -5.461628e+00   -5.468205e+00    4.689105e-03
           9   -5.451514e+00   -5.466351e+00    4.519999e-03
          10   -5.470578e+00   -5.466774e+00    4.087718e-03
          11   -5.459140e+00   -5.466080e+00    3.774547e-03
          12   -5.455600e+00   -5.465206e+00    3.559592e-03
          13   -5.480608e+00   -5.466391e+00    3.477358e-03
          14   -5.458266e+00   -5.465811e+00    3.277044e-03
          15   -5.461611e+00   -5.465531e+00    3.070513e-03
          16   -5.470002e+00   -5.465810e+00    2.891293e-03
          17   -5.473849e+00   -5.466283e+00    2.759611e-03
          18   -5.478732e+00   -5.466975e+00    2.691568e-03
          19   -5.477414e+00   -5.467524e+00    2.605384e-03
          20   -5.476712e+00   -5.467983e+00    2.515289e-03
