#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -3.837875e+00   -3.837875e+00    0.000000e+00
           2   -3.809631e+00   -3.823753e+00    9.985836e-03
           3   -3.798904e+00   -3.815470e+00    9.489885e-03
           4   -3.816593e+00   -3.815751e+00    7.121564e-03
           5   -3.823697e+00   -3.817340e+00    5.871882e-03
           6   -3.808846e+00   -3.815924e+00    5.061020e-03
           7   -3.838469e+00   -3.819145e+00    5.263982e-03
           8   -3.811628e+00   -3.818205e+00    4.689105e-03
           9   -3.801514e+00   -3.816351e+00    4.519999e-03
          10   -3.820578e+00   -3.816774e+00    4.087718e-03
          11   -3.809140e+00   -3.816080e+00    3.774547e-03
          12   -3.805600e+00   -3.815206e+00    3.559592e-03
          13   -3.830608e+00   -3.816391e+00    3.477358e-03
          14   -3.808266e+00   -3.815811e+00    3.277044e-03
          15   -3.811611e+00   -3.815531e+00    3.070513e-03
          16   -3.820002e+00   -3.815810e+00    2.891293e-03
          17   -3.823849e+00   -3.816283e+00    2.759611e-03
          18   -3.828732e+00   -3.816975e+00    2.691568e-03
          19   -3.827414e+00   -3.817524e+00    2.605384e-03
          20   -3.826712e+00   -3.817983e+00    2.515289e-03
