# DISTANCE:     AVE_GOFR:        ERROR:
    0.000000e+00    0.000000e+00    0.000000e+00
    2.306643e-02    0.000000e+00    0.000000e+00
    4.613286e-02    0.000000e+00    0.000000e+00
    6.919929e-02    0.000000e+00    0.000000e+00
    9.226572e-02    0.000000e+00    0.000000e+00
    1.153321e-01    0.000000e+00    0.000000e+00
    1.383986e-01    0.000000e+00    0.000000e+00
    1.614650e-01    0.000000e+00    0.000000e+00
    1.845314e-01    0.000000e+00    0.000000e+00
    2.075979e-01    0.000000e+00    0.000000e+00
    2.306643e-01    0.000000e+00    0.000000e+00
    2.537307e-01    0.000000e+00    0.000000e+00
    2.767971e-01    0.000000e+00    0.000000e+00
    2.998636e-01    0.000000e+00    0.000000e+00
    3.229300e-01    0.000000e+00    0.000000e+00
    3.459964e-01    0.000000e+00    0.000000e+00
    3.690629e-01    0.000000e+00    0.000000e+00
    3.921293e-01    0.000000e+00    0.000000e+00
    4.151957e-01    0.000000e+00    0.000000e+00
    4.382621e-01    0.000000e+00    0.000000e+00
    4.613286e-01    0.000000e+00    0.000000e+00
    4.843950e-01    0.000000e+00    0.000000e+00
    5.074614e-01    0.000000e+00    0.000000e+00
    5.305279e-01    0.000000e+00    0.000000e+00
    5.535943e-01    0.000000e+00    0.000000e+00
    5.766607e-01    0.000000e+00    0.000000e+00
    5.997271e-01    0.000000e+00    0.000000e+00
    6.227936e-01    0.000000e+00    0.000000e+00
    6.458600e-01    0.000000e+00    0.000000e+00
    6.689264e-01    0.000000e+00    0.000000e+00
    6.919929e-01    0.000000e+00    0.000000e+00
    7.150593e-01    0.000000e+00    0.000000e+00
    7.381257e-01    0.000000e+00    0.000000e+00
    7.611922e-01    0.000000e+00    0.000000e+00
    7.842586e-01    0.000000e+00    0.000000e+00
    8.073250e-01    0.000000e+00    0.000000e+00
    8.303914e-01    0.000000e+00    0.000000e+00
    8.534579e-01    0.000000e+00    0.000000e+00
    8.765243e-01    4.860273e-05    8.080346e-06
    8.995907e-01    3.192941e-03    1.175948e-04
    9.226572e-01    4.688125e-02    4.961742e-04
    9.457236e-01    2.916359e-01    1.337757e-03
    9.687900e-01    1.003288e+00    3.464142e-03
    9.918564e-01    2.235570e+00    4.107742e-03
    1.014923e+00    3.626343e+00    2.274368e-03
    1.037989e+00    4.619593e+00    4.465135e-03
    1.061056e+00    4.902894e+00    3.234345e-03
    1.084122e+00    4.496670e+00    5.357358e-03
    1.107189e+00    3.663485e+00    5.748576e-03
    1.130255e+00    2.694501e+00    2.364937e-03
    1.153321e+00    1.815945e+00    2.288284e-03
    1.176388e+00    1.130401e+00    1.534261e-03
    1.199454e+00    6.518791e-01    1.722748e-03
    1.222521e+00    3.518196e-01    1.427699e-03
    1.245587e+00    1.781141e-01    1.381106e-03
    1.268654e+00    8.781662e-02    8.094567e-04
    1.291720e+00    4.860864e-02    6.844497e-04
    1.314786e+00    4.169773e-02    5.177603e-04
    1.337853e+00    6.082688e-02    7.287122e-04
    1.360919e+00    1.058775e-01    7.037208e-04
    1.383986e+00    1.832005e-01    8.607772e-04
    1.407052e+00    2.984890e-01    7.874789e-04
    1.430119e+00    4.513385e-01    1.050218e-03
    1.453185e+00    6.287635e-01    5.010008e-04
    1.476251e+00    7.996530e-01    8.982543e-04
    1.499318e+00    9.238097e-01    1.363819e-03
    1.522384e+00    9.707882e-01    2.033035e-03
    1.545451e+00    9.304715e-01    1.870282e-03
    1.568517e+00    8.095381e-01    1.320055e-03
    1.591584e+00    6.404633e-01    7.216876e-04
    1.614650e+00    4.644531e-01    9.182997e-04
    1.637716e+00    3.162429e-01    8.793892e-04
    1.660783e+00    2.190595e-01    1.100725e-03
    1.683849e+00    1.906472e-01    1.275076e-03
    1.706916e+00    2.536776e-01    1.196189e-03
    1.729982e+00    4.312294e-01    1.540786e-03
    1.753049e+00    7.477444e-01    1.990182e-03
    1.776115e+00    1.195896e+00    2.532791e-03
    1.799181e+00    1.727371e+00    1.301102e-03
    1.822248e+00    2.239184e+00    1.888687e-03
    1.845314e+00    2.601139e+00    3.117049e-03
    1.868381e+00    2.716724e+00    3.664751e-03
    1.891447e+00    2.561350e+00    3.682538e-03
    1.914514e+00    2.181906e+00    2.710066e-03
    1.937580e+00    1.691038e+00    1.183448e-03
    1.960646e+00    1.199197e+00    1.154373e-03
    1.983713e+00    8.000121e-01    1.726523e-03
    2.006779e+00    5.398614e-01    2.015826e-03
    2.029846e+00    4.322911e-01    1.914628e-03
    2.052912e+00    4.586084e-01    1.812897e-03
    2.075979e+00    5.850011e-01    9.257717e-04
    2.099045e+00    7.580586e-01    8.910161e-04
    2.122111e+00    9.200940e-01    9.645230e-04
    2.145178e+00    1.015734e+00    1.141494e-03
    2.168244e+00    1.023809e+00    1.097913e-03
    2.191311e+00    9.202780e-01    1.136260e-03
    2.214377e+00    7.804173e-01    5.142858e-04
    2.237444e+00    6.528274e-01    1.141003e-03
    2.260510e+00    5.701666e-01    1.457480e-03
    2.283576e+00    5.716187e-01    1.507805e-03
