#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    1.200000e+00    1.200000e+00    0.000000e+00
           2    1.200000e+00    1.200000e+00    0.000000e+00
           3    1.200000e+00    1.200000e+00    8.603189e-09
           4    1.200000e+00    1.200000e+00    0.000000e+00
           5    1.200000e+00    1.200000e+00    0.000000e+00
           6    1.200000e+00    1.200000e+00    6.083374e-09
           7    1.200000e+00    1.200000e+00    5.632110e-09
           8    1.200000e+00    1.200000e+00    5.268356e-09
           9    1.200000e+00    1.200000e+00    4.967054e-09
          10    1.200000e+00    1.200000e+00    4.712161e-09
