#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    7.768566e+00    7.768566e+00    0.000000e+00
           2    7.757980e+00    7.763273e+00    3.742997e-03
           3    7.689665e+00    7.738737e+00    2.018831e-02
           4    7.780635e+00    7.749212e+00    1.765059e-02
           5    7.796156e+00    7.758601e+00    1.642892e-02
           6    7.728076e+00    7.753513e+00    1.445700e-02
           7    7.705531e+00    7.746659e+00    1.392221e-02
           8    7.782993e+00    7.751200e+00    1.290151e-02
           9    7.759994e+00    7.752178e+00    1.150495e-02
          10    7.754097e+00    7.752370e+00    1.035606e-02
