#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    8.000000e-01    8.000000e-01    0.000000e+00
           2    8.000000e-01    8.000000e-01    0.000000e+00
           3    8.000000e-01    8.000000e-01    0.000000e+00
           4    8.000000e-01    8.000000e-01    0.000000e+00
           5    8.000000e-01    8.000000e-01    0.000000e+00
           6    8.000000e-01    8.000000e-01    0.000000e+00
           7    8.000000e-01    8.000000e-01    5.632110e-09
           8    8.000000e-01    8.000000e-01    5.268356e-09
           9    8.000000e-01    8.000000e-01    4.967054e-09
          10    8.000000e-01    8.000000e-01    3.332001e-09
