#   N_BLOCK:  ACCEPTANCE:
           1    5.465231e-01
           2    5.467245e-01
           3    5.464846e-01
           4    5.472118e-01
           5    5.469481e-01
           6    5.471952e-01
           7    5.472368e-01
           8    5.472512e-01
           9    5.470864e-01
          10    5.471273e-01
          11    5.470610e-01
          12    5.469672e-01
          13    5.469053e-01
          14    5.468452e-01
          15    5.467809e-01
          16    5.468573e-01
          17    5.468663e-01
          18    5.468830e-01
          19    5.468433e-01
          20    5.468764e-01
          21    5.467332e-01
          22    5.467250e-01
          23    5.467091e-01
          24    5.466642e-01
          25    5.466859e-01
          26    5.466319e-01
          27    5.466449e-01
          28    5.466506e-01
          29    5.466525e-01
          30    5.466083e-01
          31    5.465790e-01
          32    5.466104e-01
          33    5.465640e-01
          34    5.464911e-01
          35    5.465266e-01
          36    5.465508e-01
          37    5.465433e-01
          38    5.465206e-01
          39    5.464544e-01
          40    5.464623e-01
