# DISTANCE:     AVE_GOFR:        ERROR:
    0.000000e+00    0.000000e+00    0.000000e+00
    2.306643e-02    0.000000e+00    0.000000e+00
    4.613286e-02    0.000000e+00    0.000000e+00
    6.919929e-02    0.000000e+00    0.000000e+00
    9.226572e-02    0.000000e+00    0.000000e+00
    1.153321e-01    0.000000e+00    0.000000e+00
    1.383986e-01    0.000000e+00    0.000000e+00
    1.614650e-01    0.000000e+00    0.000000e+00
    1.845314e-01    0.000000e+00    0.000000e+00
    2.075979e-01    0.000000e+00    0.000000e+00
    2.306643e-01    0.000000e+00    0.000000e+00
    2.537307e-01    0.000000e+00    0.000000e+00
    2.767971e-01    0.000000e+00    0.000000e+00
    2.998636e-01    0.000000e+00    0.000000e+00
    3.229300e-01    0.000000e+00    0.000000e+00
    3.459964e-01    0.000000e+00    0.000000e+00
    3.690629e-01    0.000000e+00    0.000000e+00
    3.921293e-01    0.000000e+00    0.000000e+00
    4.151957e-01    0.000000e+00    0.000000e+00
    4.382621e-01    0.000000e+00    0.000000e+00
    4.613286e-01    0.000000e+00    0.000000e+00
    4.843950e-01    0.000000e+00    0.000000e+00
    5.074614e-01    0.000000e+00    0.000000e+00
    5.305279e-01    0.000000e+00    0.000000e+00
    5.535943e-01    0.000000e+00    0.000000e+00
    5.766607e-01    0.000000e+00    0.000000e+00
    5.997271e-01    0.000000e+00    0.000000e+00
    6.227936e-01    0.000000e+00    0.000000e+00
    6.458600e-01    0.000000e+00    0.000000e+00
    6.689264e-01    0.000000e+00    0.000000e+00
    6.919929e-01    0.000000e+00    0.000000e+00
    7.150593e-01    0.000000e+00    0.000000e+00
    7.381257e-01    0.000000e+00    0.000000e+00
    7.611922e-01    0.000000e+00    0.000000e+00
    7.842586e-01    0.000000e+00    0.000000e+00
    8.073250e-01    0.000000e+00    0.000000e+00
    8.303914e-01    0.000000e+00    0.000000e+00
    8.534579e-01    0.000000e+00    0.000000e+00
    8.765243e-01    6.535594e-05    1.085163e-05
    8.995907e-01    3.274968e-03    8.419387e-05
    9.226572e-01    4.667129e-02    3.848551e-04
    9.457236e-01    2.913279e-01    1.108700e-03
    9.687900e-01    1.003999e+00    2.303735e-03
    9.918564e-01    2.238184e+00    3.055067e-03
    1.014923e+00    3.625267e+00    2.442041e-03
    1.037989e+00    4.617437e+00    3.311325e-03
    1.061056e+00    4.902122e+00    3.066706e-03
    1.084122e+00    4.496466e+00    4.300126e-03
    1.107189e+00    3.664839e+00    3.847167e-03
    1.130255e+00    2.693957e+00    2.378261e-03
    1.153321e+00    1.816257e+00    1.548695e-03
    1.176388e+00    1.130752e+00    1.604082e-03
    1.199454e+00    6.518280e-01    1.329207e-03
    1.222521e+00    3.510530e-01    1.325981e-03
    1.245587e+00    1.779371e-01    9.579823e-04
    1.268654e+00    8.830708e-02    7.280783e-04
    1.291720e+00    4.876969e-02    5.398638e-04
    1.314786e+00    4.168849e-02    3.668085e-04
    1.337853e+00    6.059021e-02    4.609833e-04
    1.360919e+00    1.056611e-01    5.494975e-04
    1.383986e+00    1.827331e-01    7.923628e-04
    1.407052e+00    2.988797e-01    7.495784e-04
    1.430119e+00    4.517714e-01    8.144988e-04
    1.453185e+00    6.281677e-01    6.706711e-04
    1.476251e+00    7.990203e-01    9.474177e-04
    1.499318e+00    9.243804e-01    1.272157e-03
    1.522384e+00    9.721494e-01    1.700194e-03
    1.545451e+00    9.310559e-01    1.339267e-03
    1.568517e+00    8.090800e-01    1.067021e-03
    1.591584e+00    6.411550e-01    7.715988e-04
    1.614650e+00    4.642663e-01    6.592305e-04
    1.637716e+00    3.159643e-01    6.956444e-04
    1.660783e+00    2.185840e-01    8.504800e-04
    1.683849e+00    1.906448e-01    1.026518e-03
    1.706916e+00    2.536804e-01    1.199384e-03
    1.729982e+00    4.315776e-01    1.455738e-03
    1.753049e+00    7.473707e-01    1.507667e-03
    1.776115e+00    1.195966e+00    1.511986e-03
    1.799181e+00    1.726697e+00    7.692691e-04
    1.822248e+00    2.237640e+00    1.485863e-03
    1.845314e+00    2.600315e+00    2.417791e-03
    1.868381e+00    2.717653e+00    3.071790e-03
    1.891447e+00    2.562220e+00    2.639465e-03
    1.914514e+00    2.183375e+00    1.855210e-03
    1.937580e+00    1.691515e+00    9.852921e-04
    1.960646e+00    1.199478e+00    9.602639e-04
    1.983713e+00    7.993332e-01    1.391113e-03
    2.006779e+00    5.393450e-01    1.440662e-03
    2.029846e+00    4.321460e-01    1.484259e-03
    2.052912e+00    4.586787e-01    1.384409e-03
    2.075979e+00    5.853551e-01    9.773659e-04
    2.099045e+00    7.579832e-01    6.683310e-04
    2.122111e+00    9.193337e-01    7.717862e-04
    2.145178e+00    1.014966e+00    1.121677e-03
    2.168244e+00    1.024247e+00    1.141892e-03
    2.191311e+00    9.204771e-01    1.011303e-03
    2.214377e+00    7.811172e-01    5.141267e-04
    2.237444e+00    6.531252e-01    8.790147e-04
    2.260510e+00    5.699362e-01    1.169245e-03
    2.283576e+00    5.708547e-01    1.320870e-03
