#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -7.548075e+00   -7.548075e+00    0.000000e+00
           2   -7.547317e+00   -7.547696e+00    2.679909e-04
           3   -7.543969e+00   -7.546453e+00    1.029791e-03
           4   -7.547979e+00   -7.546835e+00    8.400503e-04
           5   -7.550530e+00   -7.547574e+00    9.425808e-04
           6   -7.573771e+00   -7.551940e+00    4.062412e-03
           7   -7.556973e+00   -7.552659e+00    3.545118e-03
           8   -7.533750e+00   -7.550295e+00    3.809259e-03
           9   -7.545941e+00   -7.549812e+00    3.416594e-03
          10   -7.549556e+00   -7.549786e+00    3.075031e-03
          11   -7.537298e+00   -7.548651e+00    2.997736e-03
          12   -7.540654e+00   -7.547984e+00    2.821021e-03
          13   -7.549110e+00   -7.548071e+00    2.605347e-03
          14   -7.551840e+00   -7.548340e+00    2.433119e-03
          15   -7.557189e+00   -7.548930e+00    2.341336e-03
          16   -7.562435e+00   -7.549774e+00    2.342199e-03
          17   -7.564226e+00   -7.550624e+00    2.353646e-03
          18   -7.529394e+00   -7.549445e+00    2.501017e-03
          19   -7.541658e+00   -7.549035e+00    2.402730e-03
          20   -7.554465e+00   -7.549306e+00    2.297883e-03
          21   -7.551270e+00   -7.549400e+00    2.190362e-03
          22   -7.547170e+00   -7.549299e+00    2.093143e-03
          23   -7.542653e+00   -7.549010e+00    2.021981e-03
          24   -7.550554e+00   -7.549074e+00    1.938756e-03
          25   -7.549242e+00   -7.549081e+00    1.861218e-03
          26   -7.537771e+00   -7.548646e+00    1.839760e-03
          27   -7.549381e+00   -7.548673e+00    1.771823e-03
          28   -7.541147e+00   -7.548404e+00    1.728809e-03
          29   -7.542420e+00   -7.548198e+00    1.681465e-03
          30   -7.535949e+00   -7.547790e+00    1.674250e-03
          31   -7.558304e+00   -7.548129e+00    1.654244e-03
          32   -7.567069e+00   -7.548721e+00    1.705155e-03
          33   -7.542426e+00   -7.548530e+00    1.664118e-03
          34   -7.558290e+00   -7.548817e+00    1.639746e-03
          35   -7.542341e+00   -7.548632e+00    1.603300e-03
          36   -7.543378e+00   -7.548486e+00    1.565394e-03
          37   -7.556200e+00   -7.548694e+00    1.536906e-03
          38   -7.546108e+00   -7.548626e+00    1.497967e-03
          39   -7.552485e+00   -7.548725e+00    1.462822e-03
          40   -7.554744e+00   -7.548876e+00    1.433969e-03
