#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    7.764593e+00    7.764593e+00    0.000000e+00
           2    7.763885e+00    7.764239e+00    2.504866e-04
           3    7.781837e+00    7.770105e+00    4.792375e-03
           4    7.761001e+00    7.767829e+00    4.099194e-03
           5    7.745050e+00    7.763273e+00    5.230578e-03
           6    7.615453e+00    7.738636e+00    2.290864e-02
           7    7.702009e+00    7.733404e+00    2.022471e-02
           8    7.838218e+00    7.746506e+00    2.152599e-02
           9    7.770914e+00    7.749218e+00    1.930430e-02
          10    7.749158e+00    7.749212e+00    1.737387e-02
          11    7.816933e+00    7.755368e+00    1.684994e-02
          12    7.797492e+00    7.758878e+00    1.580720e-02
          13    7.751597e+00    7.758318e+00    1.460118e-02
          14    7.734971e+00    7.756651e+00    1.365314e-02
          15    7.709589e+00    7.753513e+00    1.309845e-02
          16    7.678067e+00    7.748798e+00    1.310109e-02
          17    7.669144e+00    7.744112e+00    1.314164e-02
          18    7.858322e+00    7.750457e+00    1.385889e-02
          19    7.794096e+00    7.752754e+00    1.331843e-02
          20    7.721681e+00    7.751200e+00    1.274280e-02
          21    7.738427e+00    7.750592e+00    1.215051e-02
          22    7.762500e+00    7.751133e+00    1.161026e-02
          23    7.787869e+00    7.752731e+00    1.121480e-02
          24    7.743571e+00    7.752349e+00    1.075400e-02
          25    7.752861e+00    7.752370e+00    1.032386e-02
          26    7.812172e+00    7.754670e+00    1.017979e-02
          27    7.745757e+00    7.754340e+00    9.808116e-03
          28    7.797629e+00    7.755886e+00    9.578902e-03
          29    7.788705e+00    7.757017e+00    9.315210e-03
          30    7.820890e+00    7.759146e+00    9.244814e-03
          31    7.701946e+00    7.757301e+00    9.128875e-03
          32    7.654120e+00    7.754077e+00    9.395809e-03
          33    7.791584e+00    7.755213e+00    9.179574e-03
          34    7.700481e+00    7.753604e+00    9.049637e-03
          35    7.789027e+00    7.754616e+00    8.847489e-03
          36    7.783096e+00    7.755407e+00    8.637024e-03
          37    7.714700e+00    7.754307e+00    8.473372e-03
          38    7.769260e+00    7.754700e+00    8.259521e-03
          39    7.730906e+00    7.754090e+00    8.070239e-03
          40    7.721151e+00    7.753267e+00    7.910386e-03
