#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -6.348075e+00   -6.348075e+00    0.000000e+00
           2   -6.347317e+00   -6.347696e+00    2.679909e-04
           3   -6.343969e+00   -6.346453e+00    1.029791e-03
           4   -6.347979e+00   -6.346835e+00    8.400503e-04
           5   -6.350530e+00   -6.347574e+00    9.425808e-04
           6   -6.373771e+00   -6.351940e+00    4.062412e-03
           7   -6.356973e+00   -6.352659e+00    3.545118e-03
           8   -6.333750e+00   -6.350295e+00    3.809259e-03
           9   -6.345941e+00   -6.349812e+00    3.416594e-03
          10   -6.349556e+00   -6.349786e+00    3.075031e-03
          11   -6.337298e+00   -6.348651e+00    2.997736e-03
          12   -6.340654e+00   -6.347984e+00    2.821021e-03
          13   -6.349110e+00   -6.348071e+00    2.605347e-03
          14   -6.351840e+00   -6.348340e+00    2.433119e-03
          15   -6.357189e+00   -6.348930e+00    2.341336e-03
          16   -6.362435e+00   -6.349774e+00    2.342199e-03
          17   -6.364226e+00   -6.350624e+00    2.353646e-03
          18   -6.329394e+00   -6.349445e+00    2.501017e-03
          19   -6.341658e+00   -6.349035e+00    2.402730e-03
          20   -6.354465e+00   -6.349306e+00    2.297883e-03
          21   -6.351270e+00   -6.349400e+00    2.190362e-03
          22   -6.347170e+00   -6.349299e+00    2.093143e-03
          23   -6.342653e+00   -6.349010e+00    2.021981e-03
          24   -6.350554e+00   -6.349074e+00    1.938756e-03
          25   -6.349242e+00   -6.349081e+00    1.861218e-03
          26   -6.337771e+00   -6.348646e+00    1.839760e-03
          27   -6.349381e+00   -6.348673e+00    1.771823e-03
          28   -6.341147e+00   -6.348404e+00    1.728809e-03
          29   -6.342420e+00   -6.348198e+00    1.681465e-03
          30   -6.335949e+00   -6.347790e+00    1.674250e-03
          31   -6.358304e+00   -6.348129e+00    1.654244e-03
          32   -6.367069e+00   -6.348721e+00    1.705155e-03
          33   -6.342426e+00   -6.348530e+00    1.664118e-03
          34   -6.358290e+00   -6.348817e+00    1.639746e-03
          35   -6.342341e+00   -6.348632e+00    1.603300e-03
          36   -6.343378e+00   -6.348486e+00    1.565394e-03
          37   -6.356200e+00   -6.348694e+00    1.536906e-03
          38   -6.346108e+00   -6.348626e+00    1.497967e-03
          39   -6.352485e+00   -6.348725e+00    1.462822e-03
          40   -6.354744e+00   -6.348876e+00    1.433969e-03
