#   N_BLOCK:  ACCEPTANCE:
           1    5.466296e-01
           2    5.472315e-01
           3    5.465787e-01
           4    5.470810e-01
           5    5.465981e-01
           6    5.468495e-01
           7    5.470397e-01
           8    5.470550e-01
           9    5.470895e-01
          10    5.470426e-01
          11    5.469857e-01
          12    5.469965e-01
          13    5.469526e-01
          14    5.469263e-01
          15    5.468315e-01
          16    5.468785e-01
          17    5.469240e-01
          18    5.468891e-01
          19    5.469252e-01
          20    5.470449e-01
