# DISTANCE:     AVE_GOFR:        ERROR:
    0.000000e+00    0.000000e+00    0.000000e+00
    2.306643e-02    0.000000e+00    0.000000e+00
    4.613286e-02    0.000000e+00    0.000000e+00
    6.919929e-02    0.000000e+00    0.000000e+00
    9.226572e-02    0.000000e+00    0.000000e+00
    1.153321e-01    0.000000e+00    0.000000e+00
    1.383986e-01    0.000000e+00    0.000000e+00
    1.614650e-01    0.000000e+00    0.000000e+00
    1.845314e-01    0.000000e+00    0.000000e+00
    2.075979e-01    0.000000e+00    0.000000e+00
    2.306643e-01    0.000000e+00    0.000000e+00
    2.537307e-01    0.000000e+00    0.000000e+00
    2.767971e-01    0.000000e+00    0.000000e+00
    2.998636e-01    0.000000e+00    0.000000e+00
    3.229300e-01    0.000000e+00    0.000000e+00
    3.459964e-01    0.000000e+00    0.000000e+00
    3.690629e-01    0.000000e+00    0.000000e+00
    3.921293e-01    0.000000e+00    0.000000e+00
    4.151957e-01    0.000000e+00    0.000000e+00
    4.382621e-01    0.000000e+00    0.000000e+00
    4.613286e-01    0.000000e+00    0.000000e+00
    4.843950e-01    0.000000e+00    0.000000e+00
    5.074614e-01    0.000000e+00    0.000000e+00
    5.305279e-01    0.000000e+00    0.000000e+00
    5.535943e-01    0.000000e+00    0.000000e+00
    5.766607e-01    0.000000e+00    0.000000e+00
    5.997271e-01    0.000000e+00    0.000000e+00
    6.227936e-01    0.000000e+00    0.000000e+00
    6.458600e-01    0.000000e+00    0.000000e+00
    6.689264e-01    0.000000e+00    0.000000e+00
    6.919929e-01    0.000000e+00    0.000000e+00
    7.150593e-01    0.000000e+00    0.000000e+00
    7.381257e-01    0.000000e+00    0.000000e+00
    7.611922e-01    0.000000e+00    0.000000e+00
    7.842586e-01    0.000000e+00    0.000000e+00
    8.073250e-01    0.000000e+00    0.000000e+00
    8.303914e-01    0.000000e+00    0.000000e+00
    8.534579e-01    1.940503e-06    1.891368e-06
    8.765243e-01    7.364050e-05    1.495646e-05
    8.995907e-01    3.319567e-03    1.123140e-04
    9.226572e-01    4.716707e-02    5.079792e-04
    9.457236e-01    2.950261e-01    1.861846e-03
    9.687900e-01    1.008792e+00    2.317353e-03
    9.918564e-01    2.239589e+00    3.278513e-03
    1.014923e+00    3.619683e+00    3.134874e-03
    1.037989e+00    4.618175e+00    2.901590e-03
    1.061056e+00    4.893193e+00    4.496063e-03
    1.084122e+00    4.491231e+00    4.980386e-03
    1.107189e+00    3.661403e+00    4.768141e-03
    1.130255e+00    2.702042e+00    2.795131e-03
    1.153321e+00    1.817715e+00    2.408816e-03
    1.176388e+00    1.130468e+00    1.980587e-03
    1.199454e+00    6.528695e-01    2.136337e-03
    1.222521e+00    3.521003e-01    1.854500e-03
    1.245587e+00    1.786721e-01    1.395966e-03
    1.268654e+00    8.870752e-02    7.323690e-04
    1.291720e+00    4.856367e-02    6.622331e-04
    1.314786e+00    4.183045e-02    4.107228e-04
    1.337853e+00    6.000491e-02    6.461269e-04
    1.360919e+00    1.053917e-01    7.803751e-04
    1.383986e+00    1.834895e-01    9.779724e-04
    1.407052e+00    3.001514e-01    8.852520e-04
    1.430119e+00    4.520138e-01    1.006089e-03
    1.453185e+00    6.282563e-01    1.003705e-03
    1.476251e+00    7.992912e-01    1.268505e-03
    1.499318e+00    9.254089e-01    1.683192e-03
    1.522384e+00    9.714814e-01    1.858835e-03
    1.545451e+00    9.281004e-01    2.291851e-03
    1.568517e+00    8.083623e-01    1.751621e-03
    1.591584e+00    6.391513e-01    8.970586e-04
    1.614650e+00    4.659569e-01    9.041772e-04
    1.637716e+00    3.160964e-01    9.506003e-04
    1.660783e+00    2.194147e-01    1.246457e-03
    1.683849e+00    1.912628e-01    1.499217e-03
    1.706916e+00    2.541662e-01    1.502599e-03
    1.729982e+00    4.326036e-01    1.587461e-03
    1.753049e+00    7.479392e-01    1.936411e-03
    1.776115e+00    1.195809e+00    1.662224e-03
    1.799181e+00    1.727818e+00    1.243806e-03
    1.822248e+00    2.237340e+00    1.789971e-03
    1.845314e+00    2.599423e+00    3.033909e-03
    1.868381e+00    2.717465e+00    4.026994e-03
    1.891447e+00    2.558336e+00    3.428045e-03
    1.914514e+00    2.182733e+00    2.128739e-03
    1.937580e+00    1.688987e+00    1.349856e-03
    1.960646e+00    1.200115e+00    1.744760e-03
    1.983713e+00    8.014180e-01    1.727578e-03
    2.006779e+00    5.405055e-01    1.909266e-03
    2.029846e+00    4.330826e-01    1.810501e-03
    2.052912e+00    4.615229e-01    1.547611e-03
    2.075979e+00    5.866892e-01    1.272420e-03
    2.099045e+00    7.564375e-01    6.558722e-04
    2.122111e+00    9.162637e-01    8.835488e-04
    2.145178e+00    1.014810e+00    1.493944e-03
    2.168244e+00    1.023613e+00    1.346582e-03
    2.191311e+00    9.208735e-01    1.453831e-03
    2.214377e+00    7.820671e-01    8.942386e-04
    2.237444e+00    6.538456e-01    1.152196e-03
    2.260510e+00    5.713742e-01    1.903723e-03
    2.283576e+00    5.729590e-01    1.962886e-03
