#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -7.545886e+00   -7.545886e+00    0.000000e+00
           2   -7.542147e+00   -7.544017e+00    1.322224e-03
           3   -7.535351e+00   -7.541128e+00    2.517730e-03
           4   -7.543773e+00   -7.541789e+00    1.973218e-03
           5   -7.537849e+00   -7.541001e+00    1.728778e-03
           6   -7.556356e+00   -7.543560e+00    2.744612e-03
           7   -7.553310e+00   -7.544953e+00    2.682769e-03
           8   -7.534956e+00   -7.543704e+00    2.622366e-03
           9   -7.544033e+00   -7.543740e+00    2.331247e-03
          10   -7.549180e+00   -7.544284e+00    2.160654e-03
          11   -7.548492e+00   -7.544667e+00    1.997801e-03
          12   -7.550265e+00   -7.545133e+00    1.884997e-03
          13   -7.542549e+00   -7.544934e+00    1.750444e-03
          14   -7.546392e+00   -7.545039e+00    1.628507e-03
          15   -7.545046e+00   -7.545039e+00    1.519940e-03
          16   -7.559109e+00   -7.545918e+00    1.659946e-03
          17   -7.559842e+00   -7.546737e+00    1.752743e-03
          18   -7.537383e+00   -7.546218e+00    1.730691e-03
          19   -7.540901e+00   -7.545938e+00    1.662072e-03
          20   -7.554124e+00   -7.546347e+00    1.628590e-03
