#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    7.773839e+00    7.773839e+00    0.000000e+00
           2    7.793513e+00    7.783676e+00    6.955846e-03
           3    7.829737e+00    7.799030e+00    1.336627e-02
           4    7.782390e+00    7.794870e+00    1.065240e-02
           5    7.813472e+00    7.798590e+00    9.148598e-03
           6    7.711825e+00    7.784129e+00    1.524429e-02
           7    7.726070e+00    7.775835e+00    1.515588e-02
           8    7.832242e+00    7.782886e+00    1.481098e-02
           9    7.781703e+00    7.782755e+00    1.316589e-02
          10    7.750302e+00    7.779509e+00    1.224273e-02
          11    7.753894e+00    7.777181e+00    1.134905e-02
          12    7.742927e+00    7.774326e+00    1.075628e-02
          13    7.788141e+00    7.775389e+00    9.981234e-03
          14    7.764082e+00    7.774581e+00    9.300906e-03
          15    7.774414e+00    7.774570e+00    8.680852e-03
          16    7.697074e+00    7.769727e+00    9.392824e-03
          17    7.691953e+00    7.765152e+00    9.891905e-03
          18    7.811790e+00    7.767743e+00    9.675737e-03
          19    7.794852e+00    7.769169e+00    9.271092e-03
          20    7.722360e+00    7.766829e+00    9.098167e-03
