#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -6.345886e+00   -6.345886e+00    0.000000e+00
           2   -6.342147e+00   -6.344017e+00    1.322224e-03
           3   -6.335351e+00   -6.341128e+00    2.517730e-03
           4   -6.343773e+00   -6.341789e+00    1.973218e-03
           5   -6.337849e+00   -6.341001e+00    1.728778e-03
           6   -6.356356e+00   -6.343560e+00    2.744612e-03
           7   -6.353310e+00   -6.344953e+00    2.682769e-03
           8   -6.334956e+00   -6.343704e+00    2.622366e-03
           9   -6.344033e+00   -6.343740e+00    2.331247e-03
          10   -6.349180e+00   -6.344284e+00    2.160654e-03
          11   -6.348492e+00   -6.344667e+00    1.997801e-03
          12   -6.350265e+00   -6.345133e+00    1.884997e-03
          13   -6.342549e+00   -6.344934e+00    1.750444e-03
          14   -6.346392e+00   -6.345039e+00    1.628507e-03
          15   -6.345046e+00   -6.345039e+00    1.519940e-03
          16   -6.359109e+00   -6.345918e+00    1.659946e-03
          17   -6.359842e+00   -6.346737e+00    1.752743e-03
          18   -6.337383e+00   -6.346218e+00    1.730691e-03
          19   -6.340901e+00   -6.345938e+00    1.662072e-03
          20   -6.354124e+00   -6.346347e+00    1.628590e-03
