      Block:          H_min:         error:
           1       -0.443922               0
           2       -0.411119       0.0328028
           3       -0.418127       0.0201937
           4       -0.422523       0.0149404
           5       -0.425701       0.0120013
           6       -0.426145      0.00980911
           7       -0.427356      0.00837811
           8       -0.426622      0.00729262
           9       -0.425624      0.00650858
          10       -0.428262      0.00639127
          11       -0.430011      0.00604002
          12       -0.432636      0.00610668
          13       -0.434712      0.00598881
          14       -0.436186      0.00573704
          15       -0.438089      0.00566981
          16       -0.435502      0.00590078
          17       -0.434571      0.00562053
          18       -0.435256      0.00534324
          19       -0.436515      0.00520845
          20       -0.436682      0.00494402
          21       -0.436652       0.0047028
          22       -0.438351      0.00479504
          23       -0.440353      0.00500017
          24       -0.439375      0.00488629
          25       -0.440108      0.00474385
          26         -0.4394      0.00461239
          27       -0.439658      0.00444575
          28       -0.441532      0.00467608
          29       -0.441694      0.00451486
          30        -0.44195      0.00436927
          31       -0.441684      0.00423432
          32       -0.441793      0.00410131
          33       -0.442045      0.00398305
          34       -0.442952      0.00396906
          35       -0.443665      0.00391956
          36        -0.44381      0.00381187
          37       -0.443705       0.0037089
          38       -0.443654      0.00361034
          39       -0.444174      0.00355482
          40       -0.444504       0.0034805
          41       -0.444439      0.00339517
          42       -0.443317      0.00349827
          43       -0.443061      0.00342549
          44        -0.44209      0.00348463
          45       -0.442472      0.00342763
          46       -0.442832      0.00337158
          47       -0.442843      0.00329909
          48       -0.442705      0.00323258
          49       -0.442734      0.00316605
          50       -0.442945      0.00310927
          51       -0.442112      0.00315946
          52       -0.442437      0.00311508
          53       -0.442651      0.00306328
          54       -0.442878      0.00301455
          55       -0.443532      0.00303069
          56       -0.443822      0.00299016
          57       -0.443006      0.00304866
          58        -0.44284      0.00300021
          59       -0.442566      0.00296166
          60       -0.442043      0.00295831
          61       -0.442658      0.00297367
          62       -0.441953      0.00300911
          63       -0.441876      0.00296198
          64       -0.441574      0.00293093
          65       -0.440973      0.00294732
          66        -0.44125      0.00291545
          67       -0.441416      0.00287643
          68       -0.441284      0.00283688
          69       -0.441354      0.00279634
          70       -0.441415      0.00275678
          71       -0.441846      0.00275167
          72       -0.441453      0.00274145
          73       -0.441771       0.0027222
          74       -0.441732      0.00268544
          75       -0.441462      0.00266319
          76       -0.441323      0.00263156
          77       -0.441152      0.00260278
          78       -0.441485      0.00259062
          79       -0.441663      0.00256385
          80       -0.441566      0.00253346
          81       -0.441934      0.00252894
          82       -0.442009      0.00249902
          83         -0.4419      0.00247111
          84       -0.442141      0.00245337
          85       -0.441614      0.00248104
          86       -0.441646      0.00245223
          87       -0.441718      0.00242494
          88       -0.442042      0.00241899
          89       -0.442007       0.0023919
          90       -0.442316      0.00238532
          91       -0.442357      0.00235931
          92       -0.442494      0.00233753
          93       -0.442406      0.00231392
          94       -0.442286      0.00229234
          95       -0.442561      0.00228474
          96       -0.442667      0.00226327
          97       -0.442538      0.00224348
          98        -0.44284      0.00224087
          99       -0.442878      0.00221845
         100       -0.442969      0.00219802
