             mu:           sigma        energy:
             0.8             0.6         4.22902
        0.609796        0.998213        -0.14121
       -0.190455         1.09844       -0.194475
        0.210729        0.801725       -0.146117
        0.210729        0.801725         4.34644
       -0.248394         1.50204         1.25749
       -0.248394         1.50204         5.50047
        0.692074        0.560703       -0.374689
        0.692074        0.560703         7.47841
       0.0142135        0.792994      -0.0977121
       -0.762255         1.14247        0.436195
       -0.762255         1.14247         12.1219
       -0.706213        0.398428        0.259766
        0.172661        0.678062       0.0924176
         1.10658        0.481977       0.0701085
         1.10658        0.481977         1.95087
         1.10658        0.481977         3.71495
         1.37376        0.339909         1.51309
        0.402526       -0.381872        0.374126
        0.402526       -0.381872         81.2527
        0.402526       -0.381872         123.696
        0.955922        0.225597         3.58338
        0.152964         0.80178       -0.132374
        0.152964         0.80178          7.1355
       -0.156584         1.28943        0.205868
       -0.952137         0.34432        0.868373
       -0.952137         0.34432         2.19585
       -0.500122        -0.61813       -0.191519
       -0.500122        -0.61813         7.07914
         0.36205        -1.33232        0.567195
     -0.00822201        -1.26036      0.00643595
        -0.80338       -0.712576         -0.3926
        -0.80338       -0.712576        0.488268
        -0.80338       -0.712576         1.04812
       -0.607151       -0.542616       -0.284034
       -0.500899        0.283728         1.74902
       -0.699226       -0.572429       -0.392204
        -0.78594        -1.02557        0.126194
        -0.78594        -1.02557         1.18777
       -0.417756       -0.575948      -0.0216561
       -0.417756       -0.575948         7.45244
       -0.160785       -0.335342         1.55222
       -0.473561        0.319691        0.847982
       -0.473561        0.319691         18.6166
       -0.473561        0.319691         411.843
       -0.238916       -0.209897         2.42882
       -0.195932       -0.701202       0.0152279
       -0.195932       -0.701202         1.80187
       -0.195932       -0.701202         8.28317
        0.247913       -0.979158       -0.246514
       -0.489635       -0.801198       -0.260843
       -0.709646       -0.764437       -0.359485
       -0.709646       -0.764437         14.8462
        -1.10582        -1.52755         5.63619
        -1.10582        -1.52755         41.1312
        -1.88717         -1.9738         39.6037
        -1.88717         -1.9738         52.0845
        -1.88717         -1.9738         58.0267
        -2.17057        -1.39858         35.4617
          -1.858        -1.17128         16.0017
          -1.858        -1.17128         23.8908
        -1.63458        -1.40264         13.6459
        -1.63458        -1.40264          45.475
        -1.43112        -1.30807         7.73711
        -1.43112        -1.30807         21.1476
         -1.3889        -1.42441         8.31634
         -1.3889        -1.42441         11.4361
        -1.20637        -1.02853         2.20317
        -1.20637        -1.02853         2.45714
        -1.54233        -0.47817         2.15553
        -1.54233        -0.47817         654.854
        -1.54263        -0.55383         2.38759
        -1.54263        -0.55383         25.2461
         -1.1651       -0.273893         1.98885
       -0.455837        0.427636        0.137953
       -0.455837        0.427636         6.97448
      0.00277723          1.0722       -0.234802
       -0.379603        0.564847        0.048913
       -0.344028        0.597463       0.0615328
       -0.948529          1.0935        0.946614
       -0.666036        0.881661       -0.253586
       -0.666036        0.881661         3.79073
       0.0453872         1.36023        0.384017
       0.0453872         1.36023         6.31778
       -0.419385         1.39073        0.850645
        -0.10178        0.923523       -0.230999
        0.472324         1.01286       -0.196245
        0.472324         1.01286       -0.158635
        0.181278         0.66354       0.0991704
        0.181278         0.66354         1.12271
        0.181278         0.66354         211.527
        0.153714         1.09808       -0.191836
        0.153714         1.09808         2.19238
       0.0478705        0.473068        0.883403
       -0.566536        0.990408       -0.184558
        -1.19335        0.413274        0.465694
         -1.0935        0.874491        0.576459
       -0.498094         0.46458      -0.0351771
       -0.498094         0.46458         26.3005
       -0.648171        0.503346       -0.270381
       -0.648171        0.503346         6.09575
       -0.753903        0.404608        0.209532
       -0.753903        0.404608         442.262
        -1.06489        0.710514     -0.00270672
        -1.06489        0.710514         1.52903
        -1.19175        0.481269        0.257933
        -1.44524        0.568844         1.61687
        -1.44524        0.568844         3.93832
        -1.44524        0.568844         6.62041
        -1.18271        0.958337          1.5479
        -1.18271        0.958337          4.5023
        -0.96822        0.590128       -0.323719
        -0.96822        0.590128         4.84902
        -1.03725        0.644834       -0.195127
        -1.03725        0.644834         1.39756
        -1.03725        0.644834         4.25306
       -0.571312         1.02684       -0.124756
       -0.571312         1.02684        0.688076
       -0.571312         1.02684          1.6657
       -0.715877         1.07134       0.0992423
       -0.715877         1.07134         2.54724
        -0.69797         1.11183        0.219741
        -0.51641         1.11715      -0.0112449
       -0.695283         0.66933       -0.398263
       -0.695283         0.66933        0.508597
       -0.634052        0.686562       -0.347729
       -0.646251        0.725893       -0.350821
       -0.646251        0.725893        0.243535
       -0.646251        0.725893         1.46484
       -0.616993        0.883569       -0.263194
       -0.616993        0.883569       -0.137799
       -0.614847        0.995714       -0.141415
        -0.24035         1.00916       -0.245968
       -0.191705         1.05493       -0.223714
       -0.191705         1.05493        0.249541
        0.194312        0.760542      -0.0747269
       -0.068385        0.927484        -0.23193
