      Block:          H_min:         error:
           1       -0.464376               0
           2       -0.447924        0.016452
           3       -0.454666       0.0116478
           4       -0.448399       0.0103493
           5       -0.444854      0.00876524
           6       -0.442202      0.00763225
           7       -0.442834      0.00648131
           8       -0.443785      0.00569286
           9       -0.440282      0.00612176
          10       -0.437059      0.00635361
          11       -0.439372      0.00619492
          12       -0.439881      0.00567807
          13       -0.439733      0.00522516
          14       -0.440244      0.00486445
          15       -0.441932        0.004833
          16       -0.442226      0.00453037
          17       -0.441615      0.00429917
          18       -0.441455      0.00405642
          19       -0.441152        0.003849
          20       -0.441141       0.0036515
          21       -0.439892      0.00369096
          22       -0.440589      0.00358749
          23        -0.44022      0.00344773
          24       -0.439227      0.00344718
          25       -0.438732      0.00334316
          26       -0.438662      0.00321278
          27       -0.439363      0.00316995
          28       -0.439221      0.00305793
          29       -0.439289      0.00295139
          30       -0.437747      0.00324169
          31        -0.43669      0.00330856
          32       -0.436976      0.00321623
          33       -0.437251      0.00312935
          34       -0.437616      0.00305779
          35       -0.437482      0.00297217
          36       -0.437677      0.00289501
          37       -0.437861      0.00282169
          38       -0.437712      0.00275049
          39       -0.437807      0.00268073
          40        -0.43837      0.00267278
          41       -0.438676      0.00262463
          42       -0.438779      0.00256347
          43        -0.43845      0.00252476
          44        -0.43868      0.00247741
          45       -0.439065      0.00245215
          46       -0.438624      0.00243838
          47       -0.439109      0.00243467
          48        -0.43907      0.00238373
          49       -0.439631      0.00240117
          50       -0.439745      0.00235538
          51       -0.439316      0.00234826
          52       -0.439461      0.00230722
          53       -0.439384      0.00226455
          54       -0.439769      0.00225528
          55       -0.440167      0.00224927
          56       -0.440305      0.00221309
          57       -0.440337      0.00217415
          58       -0.440283      0.00213703
          59       -0.440088      0.00210948
          60       -0.440167       0.0020755
          61       -0.439798       0.0020743
          62       -0.440376      0.00212093
          63       -0.440655      0.00210561
          64       -0.440827      0.00207954
          65       -0.441501      0.00215538
          66       -0.441622       0.0021259
          67       -0.441846      0.00210591
          68       -0.441571      0.00209283
          69       -0.441795      0.00207444
          70       -0.441828      0.00204484
          71       -0.441664      0.00202247
          72        -0.44177      0.00199697
          73       -0.441923      0.00197538
          74       -0.442006      0.00195026
          75       -0.442107      0.00192673
          76       -0.442361      0.00191817
          77        -0.44283      0.00195034
          78       -0.442472      0.00195821
          79       -0.442698      0.00194643
          80       -0.442533      0.00192906
          81       -0.442464      0.00190634
          82        -0.44247      0.00188296
          83        -0.44255      0.00186188
          84       -0.442521      0.00183982
          85       -0.442708      0.00182762
          86       -0.442826      0.00181009
          87       -0.442651      0.00179773
          88        -0.44288        0.001792
          89       -0.443185      0.00179774
          90       -0.443086      0.00178039
          91       -0.443196      0.00176411
          92       -0.442672      0.00182186
          93        -0.44259        0.001804
          94       -0.442901      0.00181147
          95       -0.443078      0.00180109
          96       -0.442946      0.00178716
          97       -0.443109      0.00177616
          98       -0.443202       0.0017604
          99       -0.443124      0.00174426
         100       -0.443213      0.00172902
