  Iteration:          H(SA):         error:
           0         4.22902        0.082467
           1        -0.13657       0.0159166
           2         2.32572        0.105022
           3      -0.0850061       0.0069578
           4         10.2242         0.13165
           5         16.5194        0.252458
           6         2.27716       0.0790932
           7         6.46487        0.203005
           8         1.42432       0.0285569
           9        0.435901       0.0479826
          10         25.8677        0.801889
          11         8.00643        0.233328
          12         7.08792        0.179038
          13       -0.280748      0.00767022
          14         570.933         76.4197
          15         520.306         33.6168
          16         3.88041       0.0750518
          17         7.65743        0.258882
          18          6.3134        0.122358
          19         4.04742       0.0795662
          20          1.6944       0.0668826
          21         26.7409        0.636607
          22         1.61308       0.0393423
          23        0.646201       0.0124469
          24         14.7317          0.1779
          25        0.977862       0.0339428
          26         3.98322         0.14323
          27         9.78974        0.209755
          28         13.9629        0.116977
          29         4.70182        0.165613
          30         5.02141        0.116918
          31         38.3653        0.408343
          32        0.439435       0.0365816
          33         7.96578        0.258957
          34         8.04629        0.261592
          35         2.52649       0.0935755
          36       -0.116535      0.00725467
          37         2.27386        0.039179
          38         25.8623        0.622611
          39         3.99117        0.114078
          40         7.85982       0.0563691
          41         3.32051       0.0991057
          42         25.3427        0.827434
          43         5.25158        0.212081
          44         9.97205        0.290281
          45         7.34054        0.268214
          46         35.5556         1.08414
          47         19.3543        0.576976
          48         7.09403        0.218922
          49         5.60568        0.200914
          50         36.7458        0.962594
          51         5.64395          0.1373
          52         4.29832        0.087681
          53         18.1276        0.425846
          54         5.40832        0.171094
          55         28.4242        0.702734
          56          1.2268       0.0662536
          57         9.50601        0.280526
          58         15.4803        0.359304
          59        0.526411       0.0178044
          60     -0.00919672      0.00970974
          61         20.9837        0.623029
          62         6.05239       0.0717622
          63         14.9174        0.324725
          64         29.1386        0.283965
          65         21.2008        0.155511
          66         14.1707         0.28464
          67         4.85814       0.0999801
          68         5.24491        0.120014
          69         12.0995       0.0887534
          70      -0.0452988      0.00484251
          71         3.71684        0.111257
          72         5.11357       0.0994057
          73        0.297585      0.00919095
          74        0.359171      0.00689951
          75       -0.312624      0.00619151
          76         17.0398        0.339617
          77        0.859895        0.023269
          78         2.67948       0.0593886
          79        0.641267       0.0122137
          80          1.7369       0.0784105
          81         1.37051       0.0749408
          82         21.0231        0.569709
          83        0.844702       0.0445167
          84         4.14043       0.0892523
          85        0.276286       0.0308715
          86         1.94744       0.0691533
          87          5.9913        0.225678
          88        0.941053        0.050591
          89         2.27195       0.0967742
          90       -0.202619       0.0102895
          91         7.19194        0.279575
          92         5.89632        0.190948
          93         5.34862        0.182529
          94         26.8628        0.914339
          95        0.714028       0.0474403
          96         11.7526        0.345301
          97      -0.0542481       0.0117851
          98         4.89412       0.0922778
          99          3.2214       0.0539535
         100         9.18187        0.169338
         101        0.617048      0.00757419
         102        0.296062       0.0250537
         103         1.61323       0.0579692
         104         9.89639        0.284415
         105         404.993         63.7684
         106         2.16266       0.0889429
         107         6.32168         0.15436
         108         12.0189        0.326028
         109         1.85032       0.0679363
         110         4.66247        0.138769
         111         10.7728        0.211427
         112        0.697565      0.00872872
         113       -0.310988      0.00828609
         114        0.954449         0.02525
         115         2.98689       0.0860799
         116         1.88796       0.0237001
         117         9.91855        0.131633
         118          8.0962        0.130193
         119         8.85976        0.224826
         120         34.1161        0.745861
         121         32.7143        0.557054
         122         42.5639         1.07127
         123         70.7845        0.855856
         124         16.1502        0.432376
         125      -0.0826999       0.0173304
         126        0.919855       0.0100343
         127         6.88348        0.177511
         128        0.198999       0.0290265
         129       -0.244018      0.00763461
         130         0.20064        0.028205
         131         5.81913        0.210934
         132         2.65471        0.133123
         133         15.5306        0.567918
         134         2.88379        0.129417
         135       -0.197371       0.0120108
         136         1.19246       0.0534523
         137         1.59372       0.0447361
         138         14.2451        0.328845
         139         12.4995        0.266372
         140         4.40974        0.062944
         141         6.85238        0.143658
         142         3.79271        0.115725
         143         43.9624         1.10556
         144        0.840847       0.0470553
         145         4.46612        0.124781
         146      -0.0575449       0.0205584
         147        0.258979       0.0338073
         148         8.05867        0.237587
         149       -0.145748       0.0145426
         150       -0.256994      0.00530648
         151         28.1105        0.680318
         152       -0.268045      0.00697636
         153         3.22493        0.115054
         154       -0.061551      0.00725034
         155         1.15974       0.0436167
         156         24.0848        0.436094
         157         7.93096        0.261794
         158         10.7145        0.313826
         159           32.19          1.0076
         160         32.0294        0.970922
         161         98.4041         3.04622
         162         43.7327         1.13819
         163         40.0497         1.21949
         164         78.3206         1.93876
         165         48.7262         1.46252
         166         82.4474         2.67406
         167         160.315          4.7543
         168         75.8537          1.5419
         169         83.2655         2.19433
         170         25.1471        0.550636
         171          19.008          0.4147
         172         32.4722        0.679316
         173         78.8495         1.40422
         174         71.7858         1.36319
         175         52.9891          1.5495
         176         100.863         2.73217
         177         38.0393         1.24558
         178         55.1884         1.54298
         179         9.88151        0.300958
         180         29.8745         1.00104
         181         25.6881        0.882328
         182         6.33239        0.202292
         183           13.65        0.337573
         184         11.4931        0.278443
         185         22.7367        0.706469
         186         4.76736       0.0930497
         187         6.34266        0.102726
         188       0.0439637       0.0144235
         189         3.08668       0.0614778
         190         3.02052       0.0669104
         191         11.3832        0.346373
         192         15.8793        0.138048
         193          5.2813        0.155629
         194         7.86174        0.237774
         195      -0.0545239       0.0215258
         196       -0.231653       0.0075457
         197       -0.221376       0.0103781
         198         3.30288       0.0859126
         199      -0.0440713        0.017091
         200         2.26391       0.0774573
         201         1.40381        0.057594
         202        0.625579       0.0508819
         203         7.85007        0.361591
         204         7.28706        0.224948
         205         20.4481        0.653633
         206          17.222        0.643845
         207          33.943        0.938965
         208         33.4106         1.01329
         209          17.007         0.57735
         210         20.5615        0.613448
         211         31.3696        0.840247
         212         6.80835        0.251012
         213         6.82661        0.173099
         214          23.545        0.686579
         215         23.3736        0.784144
         216         12.1823        0.344637
         217         63.1328         1.88138
         218         62.1336         1.99983
         219         96.6351          2.4799
         220         43.6422         1.13728
         221         8.94286        0.271306
         222         29.3061        0.907256
         223         8.19602        0.277459
         224         10.7368        0.367344
         225         18.2815        0.565251
         226         15.3952        0.429495
         227         48.7285         1.38596
         228         58.3459         1.70761
         229         2.71892        0.106366
         230         11.8354        0.332519
         231         12.9974        0.390969
         232         5.04732        0.162422
         233         42.9251         1.25441
         234        -0.14509       0.0126538
         235       -0.123423       0.0077581
         236         13.9055        0.521595
         237        0.453072       0.0209886
         238         220.723         9.07689
         239        0.227396       0.0128495
         240        0.438526        0.037299
         241         1.73051       0.0388804
         242        0.666075       0.0376678
         243       -0.206542       0.0136493
         244          7.7358        0.124956
         245        0.778926       0.0431927
         246           0.629       0.0286368
         247        0.349418       0.0334644
         248         8.85028        0.228128
         249       -0.355619      0.00500023
         250         8.91963        0.157056
         251        -0.38798      0.00466821
         252        -0.19873      0.00659091
         253        0.472003        0.012938
         254        -0.16706      0.00712635
         255       -0.250947       0.0101267
         256       -0.076343      0.00625677
         257         387.737         19.7447
         258        0.379852       0.0123942
         259         1.11776       0.0419489
         260         3.80394       0.0655941
         261          4.2035       0.0362401
         262         6.67791       0.0783352
         263         1.18311       0.0460114
         264         19.2901        0.380477
         265         2.71637       0.0631916
         266         5.47943        0.109825
         267       -0.412403      0.00450528
         268        0.386315       0.0111577
         269         3.95214       0.0742869
         270        0.666893       0.0162332
         271         111.133         3.82447
         272        -0.25394      0.00999885
         273         6.36131        0.140638
         274       -0.101732       0.0150369
         275          1.9762       0.0950913
         276        0.306621       0.0338396
         277         6.40337         0.24373
         278         4.30934        0.144219
         279         21.6386        0.652013
         280         4.65177        0.179791
         281         1.61951       0.0757672
         282         6.58053        0.237398
         283       0.0948547        0.022184
         284          1.8332        0.081625
         285        0.352734       0.0320228
         286         2.18993       0.0736132
         287         4.01117         0.13425
         288        0.368924       0.0382976
         289       0.0249886       0.0224843
         290         3.03265        0.137188
         291       -0.150406       0.0149801
         292        0.559034       0.0418977
         293       -0.260341      0.00604394
         294      -0.0299064      0.00801571
         295       -0.254913      0.00712274
         296       -0.266368      0.00746105
         297        0.475064        0.035926
         298       0.0737258       0.0277137
         299       -0.296759      0.00544402
         300         3.47828       0.0702775
