             mu:           sigma        energy:
             0.8             0.6         4.22902
        0.609779        0.998249        -0.13657
        0.609779        0.998249         2.32572
        0.992544        0.479493      -0.0850061
        0.992544        0.479493         10.2242
        0.992544        0.479493         16.5194
        0.943865         1.33535         2.27716
        0.943865         1.33535         6.46487
       0.0353922        0.398958         1.42432
        0.617958         1.20464        0.435901
        0.617958         1.20464         25.8677
         1.32159         1.46643         8.00643
          1.3066         1.45016         7.08792
         0.76859        0.815617       -0.280748
         0.76859        0.815617         570.933
         1.75812       0.0217193         520.306
         1.42497       -0.953963         3.88041
         1.42497       -0.953963         7.65743
        0.806996       -0.184783          6.3134
      -0.0460597        0.240449         4.04742
       -0.996317         1.20459          1.6944
       -0.996317         1.20459         26.7409
        -1.25391        0.878389         1.61308
        -1.29893        0.562318        0.646201
        -1.29893        0.562318         14.7317
        -1.13917        0.907015        0.977862
        -1.13917        0.907015         3.98322
        -1.13917        0.907015         9.78974
        -1.13917        0.907015         13.9629
        -0.80571         1.68864         4.70182
        -1.34681         1.19859         5.02141
        -1.34681         1.19859         38.3653
        -0.68086         1.17421        0.439435
        -0.68086         1.17421         7.96578
       -0.541743         1.99101         8.04629
       -0.521744         1.60428         2.52649
        0.275297        0.762017       -0.116535
        0.275297        0.762017         2.27386
        0.275297        0.762017         25.8623
         1.14862         1.31613         3.99117
         1.14862         1.31613         7.85982
         0.52742         1.68297         3.32051
         0.52742         1.68297         25.3427
      -0.0796525         1.89559         5.25158
      -0.0796525         1.89559         9.97205
       -0.103921         2.02739         7.34054
       -0.103921         2.02739         35.5556
      -0.0778005         2.46379         19.3543
       -0.931592         1.75244         7.09403
       -0.779039         1.74722         5.60568
       -0.779039         1.74722         36.7458
        -1.28246         1.36082         5.64395
        -1.41792         1.01116         4.29832
        -1.41792         1.01116         18.1276
       -0.761425         1.74954         5.40832
       -0.761425         1.74954         28.4242
       -0.743497         1.30996          1.2268
       -0.743497         1.30996         9.50601
       -0.743497         1.30996         15.4803
       -0.912236        0.376816        0.526411
       -0.912893       -0.449165     -0.00919672
       -0.912893       -0.449165         20.9837
        -1.71658        0.242946         6.05239
        -1.71658        0.242946         14.9174
        -1.71658        0.242946         29.1386
        -2.30572       -0.615268         21.2008
        -1.65253        -1.39538         14.1707
          -1.387        -1.13001         4.85814
          -1.387        -1.13001         5.24491
          -1.387        -1.13001         12.0995
        -1.09443       -0.520361      -0.0452988
        -1.09443       -0.520361         3.71684
        -1.51021        0.216467         5.11357
        -1.12935       -0.428354        0.297585
         -1.2317        0.506222        0.359171
       -0.552713        0.820134       -0.312624
       -0.552713        0.820134         17.0398
       -0.343776        0.300392        0.859895
        -0.52121       -0.256873         2.67948
         -1.2949       -0.577468        0.641267
       -0.376418        -1.52752          1.7369
      -0.0838955        -1.53106         1.37051
      -0.0838955        -1.53106         21.0231
       -0.482131        -1.38051        0.844702
       -0.482131        -1.38051         4.14043
       -0.816034        -1.02823        0.276286
       -0.816034        -1.02823         1.94744
       -0.816034        -1.02823          5.9913
       -0.650955        -1.33798        0.941053
       -0.539699        -1.55502         2.27195
