Gen:	<L_2>
0	43.1332
1	35.0454
2	30.5008
3	27.627
4	25.3044
5	23.4659
6	21.2954
7	19.4123
8	17.3213
9	15.6229
10	14.8629
11	14.4071
12	13.9872
13	13.627
14	13.3047
15	12.885
16	12.5272
17	12.3854
18	12.194
19	12.0547
20	11.7056
21	11.122
22	10.6664
23	10.3476
24	10.0043
25	9.31953
26	8.82196
27	8.4851
28	8.10109
29	7.72856
30	7.29723
31	6.98441
32	6.77055
33	6.71644
34	6.57492
35	6.45762
36	6.40496
37	6.44703
38	6.37807
39	6.37688
40	6.36849
41	6.38884
42	6.73859
43	7.02196
44	6.87775
45	6.54442
46	6.417
47	6.32891
48	6.29467
49	6.37232
50	6.34943
51	6.38911
52	6.35949
53	6.35497
54	6.35377
55	6.42843
56	6.34556
57	6.44318
58	6.41727
59	6.42686
60	6.44645
61	6.38818
62	6.34431
63	6.35067
64	6.31097
65	6.3729
66	6.35571
67	6.36797
68	6.39961
69	6.34281
70	6.37117
71	6.37298
72	6.32658
73	6.3829
74	6.34788
75	6.4689
76	6.32837
77	6.38279
78	6.36523
79	6.37895
80	6.32912
81	6.34979
82	6.38439
83	6.34639
84	6.34202
85	6.35862
86	6.43411
87	6.44598
88	6.31647
89	6.35947
90	6.35778
91	6.32706
92	6.35978
93	6.35318
94	6.34969
95	6.37961
96	6.36059
97	6.34038
98	6.31028
99	6.32312
100	6.35665
