Gen:	L_2
1	27.3677
2	24.7585
3	22.6077
4	20.8899
5	18.5215
6	17.2729
7	14.7184
8	14.5722
9	14.0392
10	13.4319
11	13.0858
12	12.9679
13	12.4948
14	12.1047
15	12.0167
16	11.8047
17	11.299
18	11.2736
19	10.5857
20	10.3524
21	10.0938
22	8.83382
23	8.83382
24	8.29093
25	8.25428
26	7.94542
27	7.38292
28	7.07
29	6.90802
30	6.59511
31	6.5011
32	6.46715
33	6.3242
34	6.29025
35	6.26484
36	6.24306
37	6.24306
38	6.24306
39	6.24306
40	6.24306
41	6.24306
42	6.24306
43	6.24306
44	6.24306
45	6.24306
46	6.24306
47	6.24306
48	6.24306
49	6.24306
50	6.24306
51	6.24306
52	6.24306
53	6.24306
54	6.24306
55	6.24306
56	6.24306
57	6.24306
58	6.24306
59	6.24306
60	6.24306
61	6.24306
62	6.24306
63	6.24306
64	6.24306
65	6.24306
66	6.24306
67	6.24306
68	6.24306
69	6.24306
70	6.24306
71	6.24306
72	6.24306
73	6.24306
74	6.24306
75	6.24306
76	6.24306
77	6.24306
78	6.24306
79	6.24306
80	6.24306
81	6.24306
82	6.24306
83	6.24306
84	6.24306
85	6.24306
86	6.24306
87	6.24306
88	6.24306
89	6.24306
90	6.24306
91	6.24306
92	6.24306
93	6.24306
94	6.24306
95	6.24306
96	6.24306
97	6.24306
98	6.24306
99	6.24306
100	6.24306
