Gen:	<L_2>
0	37.0394
1	30.6246
2	26.6944
3	24.5861
4	22.9849
5	21.6081
6	20.3136
7	19.4769
8	18.7216
9	17.9576
10	17.3034
11	16.4108
12	15.743
13	15.0339
14	14.4211
15	14.0551
16	13.6625
17	13.3397
18	12.8331
19	12.482
20	12.3054
21	12.0173
22	11.4911
23	10.8709
24	10.6374
25	10.483
26	10.4369
27	10.3625
28	10.2873
29	10.3013
30	10.2246
31	10.2185
32	10.2351
33	10.2827
34	10.2316
35	10.2308
36	10.2338
37	10.2903
38	10.2567
39	10.2498
40	10.2477
41	10.2777
42	10.3154
43	10.2857
44	10.2685
45	10.262
46	10.2616
47	10.2232
48	10.197
49	10.2635
50	10.2355
51	10.2855
52	10.2555
53	10.2496
54	10.257
55	10.2923
56	10.2281
57	10.296
58	10.2988
59	10.3052
60	10.3016
61	10.2806
62	10.2467
63	10.2373
64	10.2031
65	10.2484
66	10.248
67	10.2704
68	10.2988
69	10.2496
70	10.2452
71	10.2474
72	10.2213
73	10.2755
74	10.2418
75	10.2986
76	10.2109
77	10.2739
78	10.2421
79	10.2521
80	10.2302
81	10.2643
82	10.2684
83	10.2363
84	10.2334
85	10.2456
86	10.3061
87	10.3034
88	10.2041
89	10.2468
90	10.2529
91	10.2268
92	10.2563
93	10.2314
94	10.2346
95	10.2553
96	10.2363
97	10.2238
98	10.2168
99	10.245
100	10.2385
