Gen:	L_2
1	24.425
2	22.4064
3	20.9919
4	19.7889
5	19.2642
6	18.5435
7	17.6049
8	17.2534
9	15.9299
10	15.3237
11	14.5909
12	13.8239
13	13.3016
14	13.1553
15	13.0473
16	12.5977
17	12.2488
18	12.121
19	11.3349
20	10.9508
21	10.5348
22	10.3579
23	10.3579
24	10.2459
25	10.1772
26	10.1772
27	10.1454
28	10.1454
29	10.1454
30	10.1454
31	10.1454
32	10.1454
33	10.1454
34	10.1454
35	10.1454
36	10.1454
37	10.1454
38	10.1454
39	10.1454
40	10.1454
41	10.1454
42	10.1454
43	10.1454
44	10.1454
45	10.1454
46	10.1454
47	10.1454
48	10.1454
49	10.1454
50	10.1454
51	10.1454
52	10.1454
53	10.1454
54	10.1454
55	10.1454
56	10.1454
57	10.1454
58	10.1454
59	10.1454
60	10.1454
61	10.1454
62	10.1454
63	10.1454
64	10.1454
65	10.1454
66	10.1454
67	10.1454
68	10.1454
69	10.1454
70	10.1454
71	10.1454
72	10.1454
73	10.1454
74	10.1454
75	10.1454
76	10.1454
77	10.1454
78	10.1454
79	10.1454
80	10.1454
81	10.1454
82	10.1454
83	10.1454
84	10.1454
85	10.1454
86	10.1454
87	10.1454
88	10.1454
89	10.1454
90	10.1454
91	10.1454
92	10.1454
93	10.1454
94	10.1454
95	10.1454
96	10.1454
97	10.1454
98	10.1454
99	10.1454
100	10.1454
